sampleid	XH	Xmap	Ymap	XYratio	SRY
HG00096	0.0250029	0.571991	0.0657268	8.70255	6.62
HG00268	0.384803	0.750315	0.00109439	685.603	0.17
HG00419	0.347044	0.753475	0.00113091	666.253	0.14
HG00759	0.396092	0.76849	0.00113792	675.349	0.16
HG01051	0.0264206	0.596265	0.0688935	8.65488	5.72
HG01112	0.0242508	0.587878	0.0675438	8.70364	5.95
HG01500	0.0212118	0.578764	0.0673558	8.59264	6.85
HG01565	0.0266785	0.57354	0.0660224	8.68705	5.3
HG01583	0.0257631	0.569819	0.0651183	8.75052	4.73
HG01595	0.344303	0.77182	0.00113693	678.865	0.15
HG01879	0.0258784	0.582577	0.0681823	8.5444	6.65
HG02568	0.379786	0.736409	0.00116424	632.521	0.08
HG02922	0.360675	0.760009	0.00117715	645.636	0.15
HG03006	0.0251046	0.58574	0.0572482	10.2316	5.49
HG03052	0.365498	0.75894	0.00110684	685.684	0.14
HG03642	0.401502	0.777003	0.00129327	600.804	0.14
HG03742	0.0239801	0.584858	0.0688108	8.4995	6.19
NA12878	0.387542	0.729024	0.00128192	568.699	0.19
NA18525	0.326255	0.734713	0.00115329	637.059	0.19
NA18939	0.325392	0.757079	0.00125141	604.979	0.18
NA19017	0.367554	0.756054	0.00107261	704.876	0.17
NA19238	0.355295	0.761775	0.00104969	725.712	0.25
NA19239	0.0225008	0.57583	0.0673589	8.54868	10.18
NA19625	0.475065	0.755066	0.00106476	709.142	0.12
NA19648	0.342072	0.746998	0.00116331	642.129	0.13
NA20502	0.371756	0.749392	0.00106203	705.621	0.13
NA20845	0.0248265	0.571607	0.066242	8.62907	5.31
