sampleid	XH	Xmap	Ymap	SRY
NA06986	0.000932022	0.453216	0.016041	58.56
NA07000	0.0127785	1.13962	0.000399817	0.47
NA07037	0.0122974	1.08204	0.000249205	0.00
NA07048	0.00117254	0.550517	0.0302772	34.18
NA07051	0.00108241	0.680358	0.0464712	20.97
NA07347	0.00108238	0.726583	0.0504013	28.63
NA07357	0.000871944	0.692392	0.0371959	73.53
NA10847	0.0123873	1.08061	0.000175278	0.00
NA10851	0.000992183	0.59979	0.0308078	85.23
NA11829	0.00144313	0.645718	0.0346356	86.08
NA11830	0.0131998	1.0646	0.000184263	0.00
NA11831	0.000992183	0.692209	0.0372135	73.63
NA11832	0.0124177	1.19313	0.00071854	1.08
NA11843	0.00120261	0.701828	0.0510179	15.78
NA11893	0.00105228	0.563488	0.0333869	77.94
NA11918	0.012388	0.880017	5.97718e-05	0.00
NA11919	0.00141307	0.803312	0.0609631	17.22
NA11920	0.0153953	0.734642	7.576e-05	0.00
NA11930	0.000871892	0.702492	0.0497281	16.64
NA11992	0.000721566	0.639034	0.0345527	87.21
NA11994	0.00117258	0.736147	0.0381873	88.98
NA12003	0.000841827	0.678219	0.0349053	42.63
NA12005	0.00123267	0.62527	0.032112	82.67
NA12043	0.00105232	0.772814	0.0411095	110.96
NA12045	0.000901957	0.725432	0.0499502	22.64
NA12144	0.000571257	0.678882	0.0364387	78.63
NA12154	0.00129281	0.621144	0.031491	82.99
NA12155	0.00108235	0.75218	0.0391317	83.32
NA12234	0.0131401	1.49131	0.000369629	0.74
NA12249	0.0122076	1.03985	0.00020897	0.00
NA12272	0.000962088	0.541584	0.0312906	29.69
NA12273	0.0117562	1.07288	0.000272748	0.00
NA12275	0.0142823	1.02339	0.000190915	0.00
NA12282	0.00114248	0.594362	0.0317571	45.10
NA12283	0.0120866	1.09698	0.000234785	0.00
NA12286	0.00117254	0.569685	0.0322729	24.05
NA12287	0.013019	1.09185	0.000202056	0.00
NA12347	0.00081181	0.564984	0.0341257	71.05
NA12348	0.0121467	1.08681	0.000195949	0.00
NA12383	0.0135302	1.07969	0.000175341	0.00
